,title,text
0,Friends - 1x01 - The One Where Monica Gets A Roommate.ru.txt,"друг начинаться нечего рассказывать просто сотрудник ладно ты свидание собираться значит придурь джой вести прилично горб парик придача погодить знать есть мел знать просто хотеть переживать карл ой ладно успокаиваться успокаиваться этот свидание просто двое молодой человек идти поужинать вместе секс такой снова старшеклассник стоять посреди столовая понимать полностью голый мы это сниться значит смотреть вниз видеть телефон вместо именно такой сниться внезапно телефон начинать звонить знать делать смотреть смотреть догадываться отвечать оказываться это мать это самый странный звонить здороваться ответ хотеться повеситься порядок милый чувствовать вроде залезать ко глотка схватывать кишка вытаскивать рот обматывать вокруг шея печенька кэрол сегодня переезжать вещь забирать давать ка ты кофеек приносить спасибо хватить чистить аура оставлять мой аура покой ладно ладно ходить чмо понимать надеяться счастливый надеяться надеяться пусть проваливаться ад бросать знать лесбиянка ладно ради зацикливаться сам знать откуда знать жаль лесбиянка сказать это вслух вечер рассказывать мама папа вроде принимать это нормально истерический всхлип женщина телефон час ночь внук это ошибаться номер извинять ладно росс слушать сюда ты очень больно сердиться страдать хотеть подсказывать решение расслаблять булка эй дружище пусть гормон играть хотеть понимать просто просто хотеть становиться женатый человек пожалуйста миллион доллар рэйчел боже моника привет слава бог зайти ты домой мужик большой молоток сказать наверное правда приносить кофе кофеин народ это рэйчел один выживать жертва школа имя линкольн это чендлер фиби джой помнить мой брат росс мы рассказывать подождать мокрый подружка невеста боже ладно начинаться полчаса свадьба комната лежать подарок рассматривать один соусница такой прекрасный большой соусница лимож внезапно понимать сахарок понимать возбуждать этот соусница барри испугаться настоящий доходить барри вылитый человек картошка знать кто напоминать это короче просто необходимо удирать оттуда задумываться это делать ради кто равный знать подаваться хотя ты расходиться равный единственный кто знать город единственный приглашать свадьба ой надеяться это проблема кажется дарить огромный трубчатый орган восторг тунец яичный салат выбирать быть кристина папа просто мочь выходить извинять просто любить это важный отпускать волос отваливаться голова штаны носить стоять говорить сталкивать лестница сталкивать лестница сталкивать лестница эй папа послушать жизнь говорить должный соответствовать туфля нога туфля туфля туфля туфля сегодня останавливаться сказать хотеть туфля хотеть сумочка допускать шляпа шляпа покупать сам шляпа это переносный смысл папа почему запутываться слушать папа это жизнь просто оставаться жить моника кажется выяснять оставаться жить моника это сам решать нужный твой деньги постоять сказать просто дышать дышать попробовать думать приятный прохладный росинка роза ус котенок тычинка пестик пух утенок ля ля ля гормон пачка макароны рваный помогать оно независимость самый управлять свой жизнь туфля шляпка эй ты нужно мочь прийти джой чендлер жить напротив коридор часто бывать дома джой переставать клеиться сегодня свадьба подумать закон отвечать просить делать звук очень неприятный это гм это пол боже полседьмого вбузздь пол самый вино пол возможно погодить ка это твой ненастоящий свидание сегодня вино пол приглашать уй этот событие дорогой дневник рэйч постоять мочь отменять просить идти порядок росс порядок смысл хотеть оставаться неплохо правда идти таки вино пол продавать вино пить вино просто виноватый привет заходить пол это это пол вино пол извинять расслышать имя пол нужно уписываться кипяток переодеваться садиться два секунда вырывать четыре ресница ужас эй пол давать подсказка очень нравиться гладить шея один место снова снова тот пора пока оно немножко покраснеть затыкаться джой рэйчел какой план вечер должный лететь аруба проводить свой медовый месяц никакой точно медовый месяц выходить хотя аруба этот время год огромный ящерица хотеть сегодня оставаться один джой чендлер собираться помогать собирать мебель просто счастливый подписываться это спасибо просто побыть день трудный фибс хотеть помогать ой мочь хотеть любовь тепло летний дождь любовь прекрасный гений творение тот любовь получать голубь большой кишкоизвержение спасибочки должный присобачивать какой скоба какой боковина помощь этот маленький винтик никакой скоба никакой маленький винтик отваливаться нога книжный шкаф готовый красивый штука это сказать это скоба форма буква гэ прикрепляться иметь никакой понятие книжный шкаф готовый готовый этот любимый пиво кэрол пить прямо банк следовать догадываться начинать отсюда сваливать нужно портить мы веселие задавать ты вопрос получать мебель стереосистема хороший телевизор получать ребята поиметь господи господи знать конченый идиот догадываться начинать ходить стоматолог пять неделя конец конец сколько отбеливать зуб брат это переживать просто кусок взять рука стоить попробовать поломать ценный вещь скажем нога это метод лично предпочитать часы правда разбивать часы плохой решаться это порывать любимый банный полотенце бывший бойфренд сдыхать немытый грязный скотина именно барри просить прощение извинять ради бог мочь подумать это снимать носок время секс это дело просто привет автоответчик отрубиться знать девушка счастливый становиться миссис барри финклый сожаление сам знать такой давать хотя шанс понимать разводить 26 разводить затыкаться переставать собирать это час мы говорить отношение долго мятный вкус рот любовь женщина течение четыре год четыре год близость доверие разбивать ты сердце мелкий кусочек почему делать кажется вести это знать самый страшный каждый предназначать один женщина ты даваться единственный женщина это сожаление мой случай это доставаться единственный женщина нести один женщина это равно сказать каждый предназначать сорт мороженое ты сказать свет полный полно сорт мороженое кофейный шоколадный бац вишневый ванильный заказывать посыпка орех взбивать сливки ты случаться этот чудо жениться какой возраст это год восемь добро пожаловать назад мир хватать ложка знать какой смысл голодный лезть мой холодильник тот пора уходить хотеть выражать свой чувство макароны это скоро откровение пятый свидание пятый свидание думать говорить тот пора уходить способный сексуальный смысл боже боже извинять ради бог оплевывать это ты нужно долго год рад разбивать часы хотеть пятый свидание хотеть собираться соединять джоань луиза каннингем чарльз чача чача чача узы священный брак брак это наиболее святой послушать джоань любить чача разница хватать ложка знать сколько время хватать ложка слово суперпремьера бриолин напоминать это очень интересный пора свидание андреа анжела андреа блин андреа кричать анжела кошка точно спасибо это джули пойти дело смочь собирать свой мужество приглашать девушка свидание кто приглашать поразительно жизнь делать кофе таки поразительно мой поздравление подумать смочь сделать кофе смочь сделать думать смочь вторгаться польша смочь взяться готовить сделать омлет ковбойски тип хотя общий голодный какой счастие бивис батхед оба добрый утро добрый утро добрый утро добрый утро пол привет пол привет пол правильно спасибо огромный ты спасибо прекращать серьезно прошлый ночь похожий мой день рождение выпускной плюс сеновал старый америка поговорить спасибо этот ненастоящий свидание творить настоящий свидание затыкаться поставлять стол место ребеночек пора работа вводить компьютер тот цифра страшный случаться ребята работать работать это наш способ покупать разный вещь ага актер ух мочь видеть телевизор кино вряд известный узкий круг погодить ка видеть новый постановка буратино маленький театрик парк равный это работа театр эй джузеппе настоящий мальчик возмущать подобный обращение право извинять странный игрушка деревянный оба следовать знать покойник эй чендлер сегодня спать говорить барри извинять никак мочь согнать улыбка сам видеть похоже спать вешалка рот знать просто помнить тоня де марко чувство ого попадать беда дело платье свадебный требоваться носить немного забегать вперед вставать пойти работа быть думать он весь день просто вставать пойти работа ой слушать пожелать удача идти искать работа привет моника привет приезд флорида трахнуться правда ты это удаваться ненавидеть таскать тетушка попугаячьи джунгли трахаться кто знать пол вино пол знать пол знать пол знать пол шутить это сделать он штаны никто год залезать это фирменный байка кто такой делать полагать искать наукообразный ответ затащить постель ненавидеть мужчина ненавидеть мужчина ненависть отравлять вселенная дело распространять какой флюид который улавливать собака очень серьезный озабочивать мужик ладно ты давать сюда ножка просто подумать милый ум сходить понимать это мужской байка угадывать находить работа смеяться ничто учиться сегодня высмеивать двенадцать собеседование настроение удивление неплохой такой находить сапог джон энд дэвид распродажа полцены знать сапог быть называться сапог долой работа родитель сапог заплатить кредитный карточка платить отец ребята это обязательно мочь бросать тратить деньги захотеть бросать рэйчел сидеть шея родитель жизнь знать собираться замуж оставлять покой человек трудно впервые выходить самостоятельный жизнь спасибо пожалуйста помнить впервые приезжать город четырнадцать год мамаша покончить себя отчим садиться тюрьма приезжать сюда никто знать становиться жить один альбинос который мыть лобовой стекло возле портовый управление налагать рука находить занятие ароматерапия поверять знать каково ты слово который искать это готовый мочь готовый эй рэйч готовый выпрыгивать самолет парашют мочь мочь мочь приготавливать кофе мочь резать резать резать знать останавливаться символический жест это пропуск библиотека воображение сразу возникать целый консилиум хирург добро пожаловать реальность паршиво ты понравиться заваливаться спать конец конец пойти домой ты нормально эй мон смотреть находить пол это часы пол полагать ка туда находить боже ладно все спокойный ночь спокойный ночь ой извинять брать правда поделить знать наверное знать школа гм ты вздыхать знать знать казаться считать лишь занудный старший брат моника считать послушать сказать пусть крайний уязвимость подобный вопрос становиться решающий фактор думать приглашать встречаться приглашать спокойный ночь спокойный ночь пока подождать ка это ты ухватывать ложка верить свой ухо верить ю ю свой уша ама сказать сказать прекращать ой начало сказать славный задок великолепный задница распознавать великолепный задница укусить это такой фигура речь кто кофе варить просто подавать просто подавать чашечка ребеночек новый сон итак ласа вегас мисс кофе извинять мочь относить это туда давать давать спасибо извинять ласа вегас итак ласа вегас лайза минелли 9999 00 00 0 500 00 00 2 00 www tvsubtitles net
"
1,Friends - 1x02 - The One With The Sonogram At The End.ru.txt,"мужик понимать поцелуй важный остальное серьезно первый поцелуй заключать главное именно поцелуй это увертюра тип комик который нужно перетерпеть дождаться пинк флойд комик мы нравиться просто билет покупаться проблема великолепный концерт девчонка нужный комик сидеть машина пробираться пробка вообще пытаться заснуть совет вернуть комик сцена следующий быть одиночество слушать дома пластинка секс говорить первый сезон второй серия ультразвуковой исследование отлично мой сердиться правда пока лупить другой баба дубина пытаться выводить ковер запах мастодонт марш это пещерный человек проблема примерно такой ой вэй ледник приближаться понимать кстати проблема это твой бывший привет кэрол действительно встречаться ледниковый период привет здорово выглядеть это добивать извинять спасибо неплохо смотреться окружение любой прямоходящий новенький лесбиянка м г мало бывать семья марти паранойя кстати приходить беременный беременный спешить уходить это серия третий лишний лишний такой видеть заканчивать извинять глотать получаться медленно чей это бумажка написать записка решать нужный сминать думать б сдыхать взбивать ладно хотеть давать рука оружие ой родитель бывать жестокий невзбить подушка ребенок моника приветик моника пугать похожий ураган причем хороший смысл успокаиваться росс вести каждый приход мой родитель идеал принц наверное делать стискивать зуб гадкий голый дядька купить тренажер видеть мой обручальный кольцо такой красивый боже боже трогать мало вчера бояться идти возвращать кольцо барри помнить тот девушка который растаптывать твой чувство весь твой семья нужно возвращать кольцо кольцо становиться намного трудно спокойно находить правда разбираться оно ты весь вероятие потеряться слово такой знать помнить надевать утро оно кухня обедать ой сердиться давать бог извинять давать ты один поручение зато какой ровный макароны обручальный кольцо искать лазание просто мочь ребята заходить привет здороваться счастливый человек кэрол беременный находить ага час быть состояние какой проблема подушка приобретать особый значение какой место отводиться ты карола сьюзан хотеть участвовать это неприятно обязанный общий выбор классный скучать означать участвовать кажется основной работа проделывать хотеть пойти я завтра ультразвуковой исследование быть делать представлять всякий случай отказываться отцовство равный испортить правда дочка марта лагвин хотеть ты позвонить привкус карри карри очень вкусно правда правда помнить лагвинов старший ты вздыхать он вздыхать мама звонить заканчивать школа хотеть становиться кто готовка еда сказать ресторан ресторан он работать это знать обязательно росс помогать спагетти быть спагетти это просто мой сторона это страшный эгоизм собираться рассказывать ребенок лесбиянка это ослаблять давление боже натворить рэйчел встречать родитель клуб играть очень плохо сказать сколько угрохать свадьба 40000 доллар это большой деньги кто бросать алтарь это понимать никак это поговорка подобный слушать независимый толстый неуклюжий ребенок друг держаться здорово читать свой комната складывать головоломка человек тип росс который хотеть звезда небо музей печатный работа выходить другой довольствоваться малый сказать ты именно бывать рак бывать женщина такой амбиция слава бог наш маленький гармоника подобный росс дело рассказывать поделиться новость байка жизнь насколько понимать интересно происходить я кэрол получаться кэрол лесбиянка жить женщина имя сьюзан беременный мой ребенок сьюзан собираться растить это знать ваш родитель правда такой сволочь знать просто профессионал знать делать точно рассчитывать время бить промах говорить родитель выбирать охотно выбирать твой пописать плохой близнец близнец разговаривать властный амбициозный карьеристка кто работать официантка ребята пора убирать чендлер единственный ребенок хотя воображать друг родитель любить свет пожалуйста сколько просто убирать помощь нужный спасибо нервничать насчет завтра барри слегка очень посоветовать человек который недавно бортануть посоветовать избегать слово бортануть чувствовать опустошенный знать быть слишком красивый это убивать мочь пойти барри отдавать кольцо пойти кэрол сьюзан исследование завтра кэрол почему сложно помнить вместе учиться школа мечтать встречать кто влюбляться насовсем подумать получаться извинять задерживаться работа динозаврище короче привет росс помнить сьюзан забывать привет сьюзан крепкий рука крепкий должный доктор оберман иначе знать наш специфика поддерживать отлично правда отлично спасибо это открытие шейка матка барри заходить правда нормально робби час твой дело порядок здорово выглядеть доктор фарбер джейсон подавиться отходить минутка это бортануть быть весь это быть принимать важный решение например знать например имя ребенок марлон мальчик минни девочка минни маус бабушка равный минни хотеться сказать маус насчет пример джулия джулия решать минни решать проживать вместе жизнь меняться мало бывать обсуждать джулия извинять задерживаться новенький особенный находить работа отлично откуда загар аруба поехать медовый месяц видеть ты больно поехать минди минди мой свидетельница минди встречаться пересадка волос осторожно приживаться контактный линза любить лазить палец глаз ради пускай слушать хотеть поблагодарить месяц назад хотеть сделать ты больно кто либо жизнь стоматолог ортодонт знать право думать счастливый самый дело минди счастливый сплевывать это ладно думать это принадлежать ты спасибо предлагать спасибо вернуть алла плохо хелен хелен геллер спасибо никакой хелен геллер спасибо смысл геллер хелен виллик вообще думать насчет хелен виллик банч подождать причем это ребенок сперма давать наглый мужской шовинизм эй прекращать участвовать должный хелен виллик банч геллер это грань насилие ребенок предлагать геллер виллик банч знать столько фамилия помнить становиться называть геллер выходить хотеть хотеть это представлять повод момент жизнь маленький хотеть бред получаться тук тук дело тошнить немного спрашивать будущий мама равный спасибо откидываться знать пойти хотеть участвовать этот семейный дело боже посмотреть ум сходить это чудо должный увидеть знать точно мой оно нападывать звездолет наклонять голова расфокусировать зрение похоже старый картофелина делать сказать комок горло точно комок горло быть тетка идти привет минди это рэйчел нормальный сегодня видеть барри сказать порядок правда правда желать счастие честно знать минди получаться пожениться нарожать ребенок волос твой старый нос знать это дешевка полегчать 9999 00 00 0 500 00 00 2 00 www tvsubtitles net
"
2,Friends - 1x03 - The One With The Thumb.ru.txt,"привет ребята привет фиби проходить очень провожать дома сказать давать повторять это снова сказать давать повторять это снова это правильно переводить ты давать повторять это снова значит увидеть голый какой пора это условный язык свидание например дело ты значит дело ты милый значит быть встречаться алкоголик жаловаться ты находить другой значит ха ха находить каждый знать это это смягчать удар например родитель усыплять собачка говорить ребенок отправлять ее ферма забавно звучать наш родитель отправлять наш собака жить ферма росс эй ферма миллнер коннектикут миллнер просто замечательный ферма лошадь кролик который собачка мочь резвиться боже чича друг эпизод большой палец сезон 1 серия 3 самочувствие смерть тюремщик боль пять минута пройти ты приходиться жить сознавать посылать смерть невинный это действительно спасибо давать продолжать хотеть дэймон хотеть пойти камера мой камера мочь покурить курить почему дэймон курить свой камера расслаблять рука напрягать запястье степень попробовать затягиваться давать давать ты сигарета хотеть получать роль думать сигарета это просто продолжение твой рука она держать ты уверенный тянуть очень итак затягиваться кайф давать сюда вариант мочь курить чендлер держать она рот отдавать сигарета попробовать спасибо насчет плохо заканчивать отбрасывать она круто щелчок отлично пока тренироваться пойти потушить диван думать это размер нога длина кончик большой палец кончик указательный чушь мочь использовать большой палец размер нога нравиться тихо тихо говорить джо капучино кофеин кофе черный кофе латт прима переть кофе эспрессо горячий молоко чай лед видеть помнить отлично молодчина ты фиби это банк сделать смотреть почта открывать ежемесячный извещение тихо мой счет лишний 500 доллар снова происки сатана идти разбираться говорить оставлять это мой оставлять этот воровство потратить например магазин скажем купить отличный туфля каждый шаг звучать мой мой мой радость побежать припрышка мой мой поддерживать радовать возникать огромный кармический долг чендлер делать делать фу гадость это значить курить держаться год это награда вспомнить тяжело ты бросать забывать вспомнить проходить бросать туша ладно потушить это пить ладно пойти сегодня свидание алан идти дело пока нормально милый весело увидеть сегодня понедельник значит стив иметь ввиду любить штив штив шекшуальный извинять просто разбираться свой чувство нужный время мочь познакомиться ижвинит джо выбрасывать голова это приводить парень домой сразу набрасываться шакал слабый жертва послушать повидать всякий дерьмо жизнь сказать это плохо твой друг просто ты заботиться повстречать парень который понравиться шанс это слишком маленький быть знакомить похныкать немножко хныкать заканчивать забывать росс знать чича обещать обещать быть хороший чендлер обещать заходить оставлять снаружи свой маленький друг фильтр уважаемый мисс буфф спасибо указание наш ошибка пополнять ваш счет 500 дол качество компенсация принимать футбольный телефон подарок верить это 1000 футбольный телефон это банк это алан чендлер выглядеть один пуговка застегнуть сказать застегнуть знать пожалуйста вести прилично помнить любить алан это это алан штолько ваш шлышать позвонить ты завтра спасибо начинать расправа алан ударять первый давать начинать видеть какой лицо ковыряться тарелка извинять мочь любить подождать говорить кто встречаться фокус красный перец взгляд оливка изменяться навсегда замечать знать самый замечательный улыбка немного зловещий человек ботинок какой ботинок детский песенка жить человечек злобный улыбка жить ботинок недолго алан становиться эталон сравнение будущий твой парень какой будущий это самый правда выходить один пародия дэвид хасселхоф быть делать вечеринка знать особенно нравиться присутствие думать игра выигрывать фантастика вопрос такой возможно алан невероятный мультик багс баннн играть игрок сразу 1 й база алан 2 й база алан похоже сделать команда показывать играть этот еврейский ювелир мочь спрашивать кажется алан слишком невозможный бывать обожать аланость лично мочь выпивать литр пять алан привет лиззи здарово чокнутый приносить ты алфавитный суп буква повыбирать y оставлять знать y бывать кой сардина ты 1000 доллар футбольный телефон боже это настоящий деньги знать это двинуть хотеть отдавать ты нужно должный давать взамен обязательно хотеть шляпка фольга ты пригождаться порядок спасибо давать ты купить ты сказать купить газировка квит идти ладно сдача спасибо лиззи бублик хотеть спасибо пока большой палец открывать бедный маленький хитчикер прима переть hitchhik человек бесплатно путешествувать попутный машина это новый акция тип собирать пятерня хотеть посмотреть спасибо бросать это плохо палец это нечестно почему это нечестно плохой привычка большой дело хруст палец джо никто раздражать росс вообще каждый слово слог выговаривать моника хрюкать смеяться это нормальный терпеть ваш недостаток почему мочь потерпеть хруст палец раздражать проживать это раздражать фиби жевать волос слушать это милый п равда п правда плохой правильный произношение че го тот ко го должный вернуться работа давать бог получать свой заказ ой выплюнуть волос сразу ротик открываться парень который нравиться весь друг мой обожать мой друг говорить тот шакал один корова прорваться представлять знать проблема ощущать это ощущать дорогой должный ощущать это ощущать бросать это тяжело большой мальчик переживать волновать тот пятеро подумать здоровье себя делать понимать рак эмфизема сердечный заболевание главное курить приятный это знать алан хотеть поговорить ты правда поговорить я привет дружище дело ты сказать время время это это правда м такой свет думать ладно спасибо боже хороший женщина котлетка сколько год этот носок проносить носок рука 30 год заговаривать думать кто сменить никотиновый пластырь джо съедать мой последний жвачка убивать думать плохо поступать наверное напротив спасибо вернуть жизнь фиби быть доедать свой поп тарт прима переть сладкий пирожок поп тарт продаваться вид полуфабрикат употребление разогреваться тостер хотеть поп тарт эй хотеть извинять производитель сода давать 7000 доллар компенсация палец путь назад наступать жвачка твориться вселять такой просто любить собираться вместе еще кто давать надевать трусы пожалуйста ребята мы нужно поговорить подождать дежавю нету поговорить оно ладно это насчет алан кстати напоминать ярмарка возрождение быть пойти нужно знать говорить это нелегко решать порывать алан просто знать меняться человек меняться меняться кончать просто ослаблять защита пускать кто свой сердце мочь притворяться давать это нечестно отношение ко он кто нужный это честность хотеть рано извинять ой извиняться сразу становиться мочь поверять это выходной хотеть познакомить родитель встреча кто быть другой алан ребята быть порядок быть порядок мы просто нужно немного время понимать вау wоw очень жаль прощать жаль немного полегчать полегчать иметь ввиду ты твой дружок видеть мочь помнить кататься лодка центральный парк здорово грести прямо викинг проходить сам знать вспоминать сказать скучать трудный день ух говорить идти ко идти сигарета равный слабак должный покурить быть курить давать ты 7000 доллар согласный 9999 00 00 0 500 00 00 2 00 www tvsubtitles net
"
